country;variable;description;code;2014
CAN;K;Land transport and transport via pipelines;H49;100 908
CAN;K;Water transport;H50;4 381
CAN;K;Air transport;H51;14 652
CAN;K;Warehousing and support activities for transportation;H52;32 190
CAN;K;Postal and courier activities;H53;18 179
CAN;K;Accommodation and food service activities;I;26 433
CAN;K;Publishing activities;J58;1 808
CAN;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;4 715
CAN;K;Telecommunications;J61;24 224
CAN;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;21 170
CAN;K;Financial service activities, except insurance and pension funding;K64;35 188
CAN;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;14 701
CAN;K;Activities auxiliary to financial services and insurance activities;K66;0
CAN;K;Real estate activities;L68;2 122 066
CAN;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;8 189
CAN;K;"Architectural and engineering activities; technical testing and analysis";M71;7 027
CAN;K;Scientific research and development;M72;4 246
CAN;K;Advertising and market research;M73;1 185
CAN;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;4 096
CAN;K;Administrative and support service activities;N;11 710
CAN;K;"Public administration and defence; compulsory social security";O84;364 832
CAN;K;Education;P85;128 493
CAN;K;Human health and social work activities;Q;84 505
CAN;K;Other service activities;R_S;18 556
CAN;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
CAN;K;Activities of extraterritorial organizations and bodies;U;0
CHE;K;Crop and animal production, hunting and related service activities;A01;40 288
CHE;K;Forestry and logging;A02;1 360
CHE;K;Fishing and aquaculture;A03;197
CHE;K;Mining and quarrying;B;2 118
CHE;K;Manufacture of food products, beverages and tobacco products;C10-C12;14 177
CHE;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;1 241
CHE;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;3 426
CHE;K;Manufacture of paper and paper products;C17;1 419
CHE;K;Printing and reproduction of recorded media;C18;2 144
CHE;K;Manufacture of coke and refined petroleum products ;C19;961
CHE;K;Manufacture of chemicals and chemical products ;C20;10 931
CHE;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;60 634
CHE;K;Manufacture of rubber and plastic products;C22;3 162
CHE;K;Manufacture of other non-metallic mineral products;C23;3 332
CHE;K;Manufacture of basic metals;C24;2 568
